Omschrijving;2011;2012;2013;2014;2015;2016;2017;2018
Mannen jonger dan 20 jaar;74;78;53;42;39;33;26;42
Mannen tussen 20 en 25 jaar;4220;4118;3734;3617;3307;3156;2881;2848
Mannen tussen 25 en 30 jaar;15053;14901;13866;14206;13575;13430;12663;12443
Mannen tussen 30 en 35 jaar;17127;16704;15407;15594;15346;15421;15438;15386
Mannen tussen 35 en 40 jaar;10568;10058;9019;9293;9149;9439;9320;9344
Mannen tussen 40 en 45 jaar;7540;7162;6464;6244;6054;6017;5930;5829
Mannen tussen 45 en 50 jaar;4996;4950;4415;4495;4617;4889;4816;4705
Mannen tussen 50 en 55 jaar;3698;3912;3429;3645;3928;4113;4142;4207
Mannen tussen 55 en 60 jaar;2480;2514;2273;2516;2682;2884;2998;3181
Mannen tussen 60 en 65 jaar;1775;1726;1573;1598;1752;1880;1994;2022
Mannen ouder dan 65 jaar;1707;1755;1720;1744;1759;1756;1908;1942
Vrouwen jonger dan 20 jaar;538;491;444;359;337;359;286;258
Vrouwen tussen 20 en 25 jaar;9436;9341;8337;8150;7338;7000;6558;6238
Vrouwen tussen 25 en 30 jaar;18870;18662;17367;17845;17067;17099;16426;15987
Vrouwen tussen 30 en 35 jaar;14739;14405;13309;13607;13393;13557;13661;13934
Vrouwen tussen 35 en 40 jaar;8011;7480;6770;6882;7179;7535;7297;7319
Vrouwen tussen 40 en 45 jaar;5565;5483;4665;4716;4585;4613;4634;4648
Vrouwen tussen 45 en 50 jaar;3987;3821;3300;3460;3666;3872;3923;3764
Vrouwen tussen 50 en 55 jaar;2898;3144;2703;2963;3054;3338;3367;3522
Vrouwen tussen 55 en 60 jaar;1757;1768;1628;1701;1857;1997;2223;2211
Vrouwen tussen 60 en 65 jaar;990;952;820;928;1019;1033;1134;1141
Vrouwen ouder dan 65 jaar;819;862;908;792;945;938;996;985
